Topic_Name,Ratio_orgnization_users_Nametype,Ratio_of_tweets_containing_mention,Ratio_of_tweets_containing_URLs,Ratio_of_tweets_containing_hashtag,Ratio_of_tweet_containing_NSFW_content,Ratio_of_tweets_that_are_retweets,Ratio_of_tweets_have_multimedia,Ratio_of_tweets_from_credible_authors,Ratio_of_tweets_containing_question_marks,Ratio_of_tweets_with_positive_sentimnet,Ratio_of_tweets_with_negative_sentiment,Ratio_of_tweets_with_netural_sentiment,Ratio_of_tweets_containing_exclamation,Ratio_of_tweets_containing_happy_smileys,Ratio_of_tweets_having_specific_words_in_tweet,Ratio_of_tweets_from_authors_have_URL_in_their_home_page,Ratio_of_Authorsr_who_follwed_by__credibleuser,Ratio_of_authors_have_description,Average_tweet_length,Average_registration_age,Average_number_of_tweets_posted_Activity,Average_number_of_favorites,Average_Number_of_followers,Average_Number_of_following,Average_Time_span,Average_number_of_retweets,Average_listed_counts,Average_user_effect,Average_of_Reputaion,Topic_Detection
"""سعود الطبية"" تعيد يد مقيم قطعها منشار كهربائي",0.373,0.137,0.863,0.627,0,0.549,0.412,0.098,0.059,0.039,0.294,0.667,0,0,0.02,0.373,0,1,155.039,4.314,67883.6,0,111048,498.804,4.314,3.078,220.157,22479.6,0.723,"Not Rumor"
"""شرطة الرياض"" تطيح بجناة سرقوا سيارة مواطن",0.205,0,1,0.872,0.051,0.821,0.872,0.051,0,0,0.872,0.128,0,0,0,0.154,0,1,176.051,4.051,83991.6,0,126977,1048,4.051,28.667,133.795,10526,0.562,"Not Rumor"
"126 قتيلاً حصيلة العاصفة في الفلبين",0.486,0,0.865,0.378,0.027,0.351,0.676,0.243,0,0,1,0,0,0,0,0.649,0,1,120.838,5.757,143227,0,229954,1506.14,5.757,1.757,313.973,31993.7,0.725,"Not Rumor"
"«مسام» ينتزع 8,683 لغمًا حوثيًا خلال الأسبوع الرابع من شهر ديسمبر 2018",0.189,0,0.108,0.919,0,0.811,0.027,0.054,0,0,0.162,0.838,0,0,0,0.189,0,1,197.027,3.73,69733.1,0,446375,890,3.73,11.351,357.757,61784.4,0.595,"Not Rumor"
"أرقام إصابات الجرب خارج مكة ",0.038,0,0.154,0.885,0,0.846,0,0,0,0.269,0,0.731,0,0,0,0.077,0,1,235.154,1.538,26992.6,2.231,1967,528.423,1.538,15.385,4.846,11.449,0.498,Rumor
"أمطار غزيرة على جدة الثلاثاء القادم",0,0.048,0.143,0.095,0,0.571,0,0,0.524,0.238,0.714,0.048,0,0,0,0,0,1,207.762,1.286,26347.3,0.476,4498.43,2748.24,1.286,6.381,21.905,5.156,0.516,Rumor
"أمطار غزيرة على معظم مناطق المملكه",0.021,0.005,0.039,0.828,0.001,0.955,0.049,0.007,0.563,0.276,0.722,0.002,0.001,0,0.604,0.077,0,0.909,232.195,2.281,22047.1,0.608,20280.8,1598.88,2.281,404.157,24.038,2972.82,0.426,"Not Rumor"
"أمير الرياض يكرّم 26 منشأة فائزة بجائزة الملك عبد العزيز للجودة",0.408,0,0.816,0.633,0.02,0.449,0.245,0.061,0,0.408,0,0.592,0,0,0,0.531,0,1,203.49,5.327,82009.6,0,114705,792,5.327,7.041,161.694,29637.8,0.768,"Not Rumor"
"أمير مكة يوجه بالقبض على شباب قاموا بالدخول لقسم التشريح في جامعة المؤسس",0.667,0,1,0.333,0,0.111,0.556,0,0,0.889,0,0.111,0,0,0,0.444,0,1,188.778,4.444,45341.2,0,19023,1468.56,4.444,0.222,33.222,1800.11,0.726,"Not Rumor"
"أوامر ملكيه بإعفاء محمد بن سلمان",0.004,0.033,0.504,0.512,0,0.48,0,0,0.201,0.049,0,0.951,0.004,0,0.471,0.053,0,1,231.615,3.475,19510.3,0,2476.14,946.918,3.475,73.857,5.029,11.082,0.475,Rumor
"إبـادة الغـوطـة تسابـق القـرار الأممي",0.019,0.008,0.101,0.597,0.007,0.907,0.162,0.015,0.005,0.088,0.25,0.662,0.171,0,0.003,0.107,0,1,226.064,2.742,24476,1.701,20738.8,1171.06,2.742,270.016,38.875,1187.17,0.463,"Not Rumor"
"إتفاقية لفتح كنائس في السعودية",0.006,0.028,0.145,0.413,0.017,0.592,0.307,0,0.38,0.112,0.017,0.872,0.011,0,0,0.078,0,1,213.877,2.575,30893.8,0.698,2632.63,1263.82,2.575,29.106,9.045,5.436,0.536,Rumor
"إختراق شركة الاتصالات السعودية STC",0,0.161,0.194,0.097,0,0.548,0.065,0,0.065,0.161,0,0.839,0,0,0,0.355,0,1,213.258,2.774,44799.1,1,8856.42,4171.35,2.774,8,7.194,347.848,0.601,Rumor
"إصابة 20 تلميذًا في هجوم نفذه رجل في بكين",0.562,0,1,0.438,0.031,0.344,0.5,0.25,0.031,0.062,0.031,0.906,0,0,0.125,0.625,0,1,135,4.812,89844.3,0,237697,714.938,4.812,1.188,324.031,27784.5,0.736,"Not Rumor"
"إصابة 29 شخصا بالاختناق إثر اندلاع حريق داخل مركز تجاري في جدة",0.6,0,0.933,0.6,0,0.267,0.667,0.067,0,0,0.533,0.467,0,0,0,0.533,0,1,172.467,4.4,68530.3,0,326926,890.067,4.4,1.067,279.133,29600,0.719,"Not Rumor"
"إصابة 75 شخصاً في زلزال بغرب إيران",0.4,0,1,0.35,0,0.6,0.85,0.05,0,0,0,1,0,0,0,0.3,0,1,122,4.95,112966,0,252028,1795.1,4.95,4.4,204.75,23730.5,0.634,"Not Rumor"
"إطار وطني جديد للمناهج",0,0,0.556,0,0,0.444,0.111,0,0,1,0,0,0,0,0,0,0,1,223.889,3,12670.4,0.333,8632.56,3650.67,3,4.556,7.778,5300,0.501,Rumor
"إعلان نتائج القبول المبدئي بالجوازات للعنصر النسائي برتبة جندي",0.833,0,1,0.333,0,0.083,0.75,0.167,0,0,1,0,0,0,0,0.75,0,1,172.667,6.417,226329,0,133797,11.833,6.417,0.167,229.25,33510.5,0.993,"Not Rumor"
"إقامة جسر جديد بين السعودية ومصر ",0.013,0,0,0.038,0,0.861,0.975,0,0.063,1,0,0,0,0,0,0.101,0,1,89.101,3.304,22951.7,0.835,5125.08,3150.61,3.304,55.241,7.278,8.507,0.59,Rumor
"إلغاء إجراءات دخول الجوازات بالبحرين",0,0,0.2,0,0.067,0.8,0,0,0,0,0,1,0,0,0,0.2,0,1,239.467,3.933,36994.7,0,13557.7,12593.1,3.933,9.6,41.8,0.831,0.431,Rumor
"إنتحار أمير سعودي",0.176,0,0.992,0.229,0.046,0.664,0.16,0,0.015,0.038,0.015,0.947,0.015,0,0,0.198,0,1,153.351,1.618,75801.1,0.855,5043.56,2149.42,1.618,20.084,11.763,60.333,0.639,Rumor
"إنتخاب برهم صالح رئيسا للعراق",0.163,0.013,0.351,0.222,0.017,0.64,0.268,0.092,0.038,0.23,0.389,0.381,0.004,0,0.046,0.276,0,1,191.741,3.762,58290.4,0,137487,3415.22,3.762,37.603,162.192,8295.62,0.596,"Not Rumor"
"إنفجار قوي في محطة وقود في الولايات المتحدة الامريكية",0.008,0,0.008,0.096,0.056,0.88,0.912,0,0.208,0.088,0.792,0.12,0.16,0,0,0.096,0,1,157.832,3.336,24608,0,6640.73,3612.91,3.336,33.896,8.736,517.939,0.457,Rumor
"إنفجار ناقلة وقود على طريق جده مكه",0.016,0,0.31,0.675,0.04,0.603,0.056,0,0.603,0,0.548,0.452,0,0,0.508,0.063,0,1,223.929,3.111,24251.7,0,2878.25,1547.78,3.111,6.484,4.921,4.472,0.441,Rumor
"إنقلاب في حي الخزامي",0.013,0.013,0.212,0.863,0,0.713,0.013,0,0.05,0.075,0.15,0.775,0.113,0,0.113,0.1,0,1,232.012,1.738,38504.2,1.438,1213.39,945.438,1.738,17.913,5.787,2.541,0.423,Rumor
"إيرباص تعلن إتمام مبيعات بقيمة 11 مليار دولار لطائرات إيه 220",0.333,0,0.778,0.417,0.028,0.25,0.5,0.194,0,0,0,1,0,0,0.056,0.639,0,1,147.667,5,128111,0,211883,4496.47,5,2,234.722,13714.8,0.723,"Not Rumor"
"إيقاف الكاتب محمد السحيمي وإحالته للتحقيق",0.013,0.198,0.209,0.288,0.004,0.977,0.002,0.01,0.15,0.029,0.003,0.968,0,0,0.203,0.105,0.0001158,1,224.627,3.503,26221.2,0.613,13469.4,1594.74,3.503,3958.6,18.034,2991.82,0.516,"Not Rumor"
"ارسال رسالة لتصحيح فاتورة الكهرباء",0,0.087,0.223,0.155,0,0.233,0.019,0,0.078,0.214,0.631,0.155,0.029,0,0.01,0.097,0,1,203.621,3.553,23762.2,0.272,8639.17,7126.47,3.553,0.796,8.146,2.953,0.477,Rumor
"استدعاء منشآت غذائية بالرياض خالفت قرار وضع السعرات الحرارية في قائمة الأطعمة",1,0,1,0,0,0,0.5,0,0,0,0,1,0,0,0,0.5,0,1,180.25,5.5,121704,0,10645.8,3.25,5.5,0,38.25,4411.29,0.97,"Not Rumor"
"استنئناف استقبال طلبات تجنيس زوجات المواطنين",0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,1,149.5,4,797.5,0,42.5,397.5,4,0,0,0.085,0.075,Rumor
"استهداف مطار دبي",0,0,0.2,0.8,0,0.8,0,0,0,0,0,1,0,0,0.1,0,0,1,230,1.8,43655.2,0,3082.6,1070,1.8,46.1,9.9,3.695,0.601,Rumor
"اكتشاف أكبر حقل نفط في تاريخ البحرين",0.027,0.01,0.193,0.655,0.006,0.942,0.068,0.016,0.09,0.318,0.092,0.59,0.453,0,0.063,0.117,0,0.99,216.157,3.649,36028.5,1.022,16893.6,1616.07,3.649,1724.4,28.361,1324.65,0.519,"Not Rumor"
"الأرز البلاستيك في الأسواق",0,0,0.625,0,0,0,0.25,0,0,0.625,0.125,0.25,0.25,0,0,0.375,0,1,199.875,3.75,16171.6,0,2578.62,2482.88,3.75,0,2.25,7.59,0.359,Rumor
"الإفراج عن نجلي علي عبدالله صالح",0.143,0,0.214,0,0,0.5,0,0,0,0.786,0,0.214,0,0,0,0.071,0,1,216.214,1.214,13696.6,0.786,828.5,916.429,1.214,2.571,0.929,1.104,0.457,Rumor
"الإمارات تعلن افتتاح كأس آسيا 2019 في عرض مبهج",0.09,0.107,0.427,0.557,0.017,0.725,0.209,0.094,0.098,0.341,0.062,0.597,0.017,0,0,0.283,0,1,192.44,3.758,61623.1,0.005,77778.5,1568.07,3.758,48.651,111.152,7307.16,0.6,"Not Rumor"
"الاتصاالات السعوديه تحصل على حقوق نقل الدوري السعودي للمحترفين",0.017,0.004,0.095,0.389,0.002,0.895,0.115,0.007,0.048,0.322,0.032,0.646,0.004,0,0.023,0.114,0,1,233.779,3.156,43262.2,0.321,18898.9,4098.48,3.156,121.826,52.952,2430.28,0.527,"Not Rumor"
"البشير يعفي وزير الصحة السوداني من منصبه",0.6,0,1,0,0,0.2,0.2,0.2,0,0,0,1,0,0,0,0.6,0,1,118.2,6.8,82463.6,0,426086,692.4,6.8,0.2,339.6,2454.48,0.722,"Not Rumor"
"الجنادرية تشهد أول حالة ولادة في حنادرية 33",0.295,0,0.547,0.737,0,0.611,0.221,0.084,0.326,0.989,0.011,0,0,0,0.326,0.358,0,1,194.832,3.379,99358.9,0,77386.5,751.221,3.379,12.105,111.316,7722.38,0.673,"Not Rumor"
"الجيش اليمني يسقط طائرة مسيرة لميليشيا الحوثي الإرهابية غربي الجوف",1,0,0.75,0,0,0.25,0,0,0,0,0.25,0.75,0,0,0,0.25,0,1,182.25,6,338336,0,10265,1259.25,6,0.25,38.25,1653.24,0.725,"Not Rumor"
"الحكومة اليمنية تنفي إنسحاب الحوثيين من ميناء الحديدة",0.164,0.033,0.461,0.842,0.013,0.796,0.329,0.066,0,0.033,0.033,0.934,0,0,0.039,0.243,0.0065789,1,202.526,3.967,99779.3,0,135880,1045.48,3.967,57.553,174.441,32566.8,0.627,"Not Rumor"
"الحماية الأمنية للمنتخب السعودي في البصرة",0,0,0.083,0.25,0.083,0.583,0.583,0,0,0.125,0,0.875,0,0,0,0.083,0,1,171.125,3.25,21802.8,0.917,25940.5,5115.54,3.25,4.375,20.417,1076.21,0.572,Rumor
"الحوثيون يحرقون مخازن الغذاء العالمي",0.147,0,0.985,0.912,0.015,0.794,0.809,0.044,0,0,0,1,0,0,0.015,0.221,0.0147059,1,182.471,3.971,84431.4,0,263269,877.309,3.971,39.338,260.647,55262.5,0.592,"Not Rumor"
"الرضيع الناجي في حادثة الطائرة الأندونيسية",0.017,0,0.053,0.276,0.005,0.945,0.001,0.002,0.001,0.002,0.088,0.91,0,0,0,0.101,0,1,238.908,3.9,28448.9,0,8676.67,3438.82,3.9,257.002,12.143,69.954,0.488,Rumor
"السلطان محمد الخامس يتنحى عن عرش ماليزيا",0.161,0,0.218,0.848,0.014,0.749,0.389,0.076,0.137,0.019,0.981,0,0.005,0,0.227,0.209,0,1,142.986,4.019,64270.8,0,91431.8,2092.08,4.019,47.73,101.436,13806,0.623,"Not Rumor"
"الشيخ المطلق العباية غير إلزامية والأصل هو اللباس الساتر",0,0,0.1,0.991,0,0.701,0.009,0,0.057,0.209,0.611,0.18,0.047,0,0,0.114,0,0.754,230.635,2.45,19850.6,0,10039.3,5830.37,2.45,0,8.009,15.762,0.495,"Not Rumor"
"الشيخ تميم آل ثاني يوافق على شروط مجلس التعاون",0.012,0.072,0.458,0.145,0.036,0.47,0,0,0.952,0.036,0,0.964,0,0,0.976,0.096,0,1,230,3.06,10247.1,0,3677.05,2389.59,3.06,2.952,2.952,3.55,0.47,Rumor
"العثور على سفينة ركاب يمنية تعرضت لخلل فني بسقطرى بعد يومين من اختفاءها",0.8,0,1,0.2,0,0,0,0.2,0,0,0.6,0.4,0,0,0,1,0,1,170.4,8.6,73532,0,149281,258,8.6,0,379.2,47395.8,0.958,"Not Rumor"
"الغيث  يطالب بالسماح للنساء بزيارة المقابر",0.286,0,0.5,0.643,0,0.429,0.071,0.143,0.143,0.286,0,0.714,0,0,0,0.286,0,1,230.429,4.286,45220.8,0.857,20434.6,1525.71,4.286,1,49.571,8548.07,0.64,"Not Rumor"
"القبض على قائد مركبة مارس التفحيط في حي العريجا وتسبب في وفاة أحد المشاة",0.333,0,1,0.778,0.056,0.722,0.333,0.056,0,0,0.389,0.611,0,0,0,0.333,0,1,204.611,4.333,68545.1,0,258981,511.111,4.333,8.056,215.667,24344.6,0.619,"Not Rumor"
"الكويت تحترق بسبب ارتفاع درجة الحرارة",0,0,0.091,0.273,0,0.545,0.727,0,0.273,0.182,0.091,0.727,0,0,0,0.182,0,1,131.273,2,14870.4,1.091,617,809.727,2,4.182,1.818,3.561,0.463,Rumor
"المانيا تعود إلى عضوية مجلس الأمن بعد غياب دام 6 سنوات",0.333,0,1,0.667,0,0.333,0.333,0.333,0,0,1,0,0,0,0,0.667,0,1,170,6.667,379984,0,368794,70,6.667,0.667,329.333,4010.82,0.827,"Not Rumor"
"المطلق يطالب بعودة الضرب للمدارس بشرط",0.017,0,0.053,0.865,0.002,0.976,0.083,0.002,0.004,0.464,0.428,0.109,0,0,0,0.078,0,1,229.07,3.102,21959.4,1.585,18204.8,2392.62,3.102,1197.69,19.532,2976.93,0.48,"Not Rumor"
"اليدومي يتبرأ من توكل كرمان",0.051,0,0.204,0.777,0,0.752,0.032,0.006,0.013,0.025,0.006,0.968,0,0,0.299,0.172,0,1,230.497,2.854,43651.9,0.917,16789.5,2122.76,2.854,28.917,25.815,4244.55,0.517,"Not Rumor"
"انفجار في العاصمة التركية أنقره",0.129,0.009,0.161,0.744,0.004,0.68,0.212,0.079,0.029,0.772,0.008,0.22,0.001,0,0.519,0.267,0,1,156.398,3.071,63649.1,2.067,88107.4,2517.94,3.071,37.453,143.666,5966.59,0.634,"Not Rumor"
"بابا الفاتيكان يؤدي مناسك الحج",0,0,0.667,0,0,0,0,0,0,0.333,0,0.667,0,0,0,0,0,1,129,2.333,1455.33,0,830.333,1715,2.333,0,0,0.423,0.253,Rumor
"بدء إلزام المنشآت الغذائية بوضع السعرات الحرارية ضمن قائمة الوجبات غداً",0.016,0.03,0.028,0.967,0.003,0.969,0.03,0.012,0.007,0.033,0,0.967,0,0,0.001,0.208,0,1,225.292,4.815,21537.3,0.004,10719.9,1216.99,4.815,1762.02,18.805,657.421,0.483,"Not Rumor"
"بركان جاوه",0.222,0,0.333,0,0,0.556,0.222,0,0.222,0.667,0,0.333,0,0,0,0,0,1,217.667,1.778,9369.33,0.667,16560.1,1717.44,1.778,2.667,1.778,3.541,0.571,Rumor
"برنامج «حساب المواطن» يتعامل مع 1.2 مليون طلب في ثلاثة أشهر",0.139,0,0.179,0.855,0.04,0.798,0.925,0.017,0,0.006,0,0.994,0,0,0,0.162,0,1,151.121,2.139,101441,0,48526.5,18587.9,2.139,211.405,196.116,4459.41,0.591,"Not Rumor"
"بلجيكا تعتزم حظر استخدام جنودها للهواتف الذكية",0.286,0,1,0,0.143,0.286,0,0.429,0,0.714,0,0.286,0,0,0,0.714,0,1,130.143,5.857,154490,0,421795,4058.43,5.857,0.286,545.429,14639.7,0.857,"Not Rumor"
"بيع سمكة تونة بأكثر من ثلاثة ملايين دولار في مزاد بطوكيو",0.148,0,0.321,0.049,0,0.79,0.16,0.062,0.605,1,0,0,0,0,0,0.346,0,1,216.963,4.469,36102.2,0.012,76651.5,2051.36,4.469,42.309,92.58,5176.45,0.571,"Not Rumor"
"تبرع الملك بتكاليف عملية زراعة الشبكية التعويضية",0,0,0.143,0,0,0.857,0,0,0,0,0,1,0,0,0,0,0,1,248.429,2.714,83644.6,1,14881.9,13383.7,2.714,7,21.429,0.82,0.431,Rumor
"تحذير من شراء البيض البلاستنيك ",0.007,0.009,0.025,0.008,0,0.949,0.027,0.001,0.937,0.019,0.005,0.976,0.004,0,0,0.058,0,1,222.234,3.41,21367.8,0.679,6326.09,1000.94,3.41,739.645,8.076,30.772,0.423,Rumor
"تخفيض سعر البنزين",0,0,0.955,0.856,0,0.023,0,0,0.008,0.061,0.008,0.932,0,0,0,0.045,0,1,195.833,4.303,7064.73,0.076,1486.03,1229.06,4.303,0.023,2.773,7.952,0.479,Rumor
"تدويل الحرمين",0.008,0.05,0.058,0.54,0.001,0.917,0.05,0.008,0.058,0.222,0.279,0.498,0.084,0,0.011,0.074,0,1,226.426,3.038,32143.4,0.39,6639.85,2500.28,3.038,1355.36,18.421,45.983,0.517,"Not Rumor"
"ترمب : لاتهمني شعبيتي في أوروبا ",0.2,0,0.2,0.9,0,0.8,0,0.1,0,0,0.8,0.2,0,0,0,0.2,0,1,232.6,3.7,69887.6,0,449880,659.7,3.7,6.4,347.3,37299.9,0.571,"Not Rumor"
"ترمب يؤكد مقتل المدبر الرئيسي للهجوم على المدمرة «يو إس إس كول» في اليمن",0.45,0.1,0.95,0.7,0.05,0.55,0.5,0.25,0,0.05,0.55,0.4,0,0,0,0.35,0,1,187.7,4.85,108536,0,393100,1032.55,4.85,3.15,464.9,28818.7,0.687,"Not Rumor"
"تسديد فواتير المتقاعدين ممن تقل دخولهم عن 5 الاف",0,0,0.333,0.333,0,0.333,0.333,0,0,0.333,0.333,0.333,0,0,0,0.333,0,1,195.333,2,9662,0,1198,1912.67,2,0.333,1,0.74,0.417,Rumor
"تسونامي موجة تبتلع حفلا موسيقيا",0.017,0,0.466,0.562,0.024,0.956,0.492,0.007,0.011,0.05,0.37,0.579,0.007,0,0,0.074,0,1,210.29,3.664,25757.2,0.001,11115,4280.62,3.664,647.087,17.759,853.771,0.425,"Not Rumor"
"تصحيح أوضاع السودانين في المملكة",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,171,0,1392,1,46,45,0,0,0,1.02,0.51,Rumor
"تصريح مفتي المملكة بشأن احداث غزة",0,0.129,0.082,0.659,0.006,0.824,0.194,0,0,0,0.835,0.165,0.006,0,0,0.112,0,1,230.3,1.959,23184.8,1.382,1304.02,968.965,1.959,61.206,3.653,2.098,0.438,Rumor
"تطبيق قانون التجنيد الاجباري في السعودية",0,0.529,0.412,0.059,0,0.529,0,0,0.118,0.059,0,0.941,0,0,0.941,0.176,0,1,207.176,3.353,36945.3,0.059,2211.59,1934.77,3.353,5.824,12.471,2.117,0.519,Rumor
"تعيين حمد آل الشيخ وزيرا للتعليم",0.106,0.024,0.171,0.929,0.006,0.865,0.259,0.041,0.024,0,0,1,0,0,0.418,0.224,0.0058824,1,160.565,3.576,40878.4,0,120419,1868.59,3.576,34.265,135.571,22490.3,0.598,"Not Rumor"
"تعيين خالد الحربي مديرأ للأمن العام",0.022,0,0.03,0.841,0.008,0.941,0.16,0.018,0.015,0.823,0,0.177,0,0,0.856,0.112,0,1,176.583,3.604,25665.5,0,32331.9,1846.36,3.604,729.723,36.647,2903.25,0.508,"Not Rumor"
"تقديم مطعم لحم القرود لزبائنه في الطائف",0.094,0.094,0.283,0.019,0.038,0.453,0.396,0,0.264,0.302,0.453,0.245,0.151,0,0,0.151,0,1,184.057,2.925,20651.8,0,5633.4,2779.89,2.925,4.906,6.151,10.046,0.507,Rumor
"تقلبات الدخل الشديدة يمكن أن تؤدي إلى الوفاة المبكرة",0.444,0,1,0,0.056,0.5,0,0.278,0,0.722,0,0.278,0,0,0,0.389,0,1,155.5,5.5,202134,0,681605,226.333,5.5,2.278,687,83759.3,0.696,"Not Rumor"
"تلوث البيبسي بالإيدز",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,141,1,1601,2,1171,79.5,1,0,0,8.855,0.525,Rumor
"تنسيق لتعليق وتأجيل الدراسة إلى شهر ذي القعدة",0,0,0.167,0,0,0.833,0,0,0,0,0,1,0,0,0.667,0.167,0,1,239.667,3.5,29310.2,0.167,2467,2867.33,3.5,2.833,6.5,1.122,0.482,Rumor
"تنفيذ طريق موازٍ لطريق المطار يتصل بجسر الجامعة",0.085,0,0.098,0.299,0,0.896,0.03,0.03,0,0,0,1,0,0,0,0.232,0,1,244.537,4.988,50963.8,0,84293.2,902.988,4.988,62.665,96.177,9805.61,0.615,"Not Rumor"
"توطين خمسة أنشطة بعد غدٍ..",0.021,0.005,0.063,0.26,0.002,0.951,0.017,0.008,0.661,0.906,0.003,0.091,0,0,0.614,0.084,0,1,238.212,3.733,31882,0,26633.9,1528.66,3.733,394.632,38.414,8115.85,0.474,"Not Rumor"
"تويوتا تعلن عن مسابقة بمناسبة اليوم الوطني",0,0.152,0.818,0.061,0,0.182,0,0,0.152,0.879,0,0.121,0,0,0,0.061,0,1,229.364,3.394,18268.3,0,3883.51,1675.94,3.394,0.364,4.303,30.326,0.472,Rumor
"جثة نواوي البطاني لم تتغير بعد 250 عام",0.026,0,0.114,0.149,0.026,0.719,0.158,0,0.053,0.018,0.184,0.798,0,0,0,0.018,0,1,227.719,2.623,27489,0.325,6290.16,3721.64,2.623,8.658,14.5,9.15,0.482,Rumor
"جسر الملك فهد شهد ثاني أعلى عبور للمسافرين منذ افتتاحه",0.051,0,0.105,0.522,0.004,0.935,0.079,0.013,0.045,0.368,0,0.632,0,0,0,0.104,0,1,226.192,3.741,45415.3,0,72163.5,2846.55,3.741,188.207,75.717,18815.2,0.521,"Not Rumor"
"جني يصلي في الحرم المكي",0,0,1,0.667,0,0,0,0,0.333,0.667,0,0.333,0,0,0,0.333,0,1,211.333,2.667,13424.3,0.333,596.667,18.333,2.667,0,7,19.907,0.643,Rumor
"حبوب الحوت الأزرق",0.002,0.017,0.14,0.077,0.005,0.84,0.02,0,0.012,0.229,0.741,0.03,0,0,0,0.06,0,1,238.688,3.13,58501,0.456,10537.1,7399.2,3.13,49.252,27.698,6.406,0.504,Rumor
